Categoria;Região;Grupo;Ano Modelo;Sexo Condutor;Faixa Etária;IS Média (R$);Expostos;Prêmio Médio (R$);Freq. Incêncio e Roubo;Indeniz. Incêncio e Roubo (R$);Freq. Colisão;Indeniz. Colisão (R$);Freq. Outras;Indeniz. Outras (R$)
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Feminino;Entre 26 e 35 anos;40483;9943;955;13;441071;698;4059988;1622;835591
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Feminino;Entre 36 e 45 anos;41032;11189;904;22;721504;786;4514939;1744;681257
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Feminino;Entre 46 e 55 anos;42233;10154;922;8;281124;728;4021696;1388;518336
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Feminino;Maior que 55 anos;43552;11875;895;17;489689;925;5152287;1657;586804
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Masculino;Entre 18 e 25 anos;41276;1506;1255;2;64324;146;1290524;194;160219
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Masculino;Entre 26 e 35 anos;40494;6802;1024;25;764955;567;3389568;1257;1030366
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Masculino;Entre 36 e 45 anos;40787;6812;937;20;776161;586;3789444;1017;770180
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Masculino;Entre 46 e 55 anos;41642;7401;936;18;670415;582;3936732;1010;509604
Passeio nacional;SP - Ribeirão Preto e Demais Mun. de Campinas;GM CHEVROLET ONIX;Todos;Masculino;Maior que 55 anos;42915;13844;895;14;426975;1062;6530743;1536;673996
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Feminino;Entre 18 e 25 anos;39755;249;1403;2;71965;21;111213;60;16571
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Feminino;Entre 26 e 35 anos;39595;2008;1187;21;682254;105;665806;600;310392
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Feminino;Entre 36 e 45 anos;40429;2794;1100;29;1010941;178;1232644;793;296072
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Feminino;Entre 46 e 55 anos;41565;2496;1101;25;866116;139;855652;761;313994
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Feminino;Maior que 55 anos;43202;2414;1046;21;665393;148;1074130;824;164878
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Masculino;Entre 18 e 25 anos;40314;287;1659;1;37304;18;84552;51;61251
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Masculino;Entre 26 e 35 anos;39671;1727;1308;26;904584;124;1144308;546;280699
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Masculino;Entre 36 e 45 anos;40005;2045;1160;28;916093;116;974788;532;239045
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Masculino;Entre 46 e 55 anos;41162;1980;1142;22;777207;140;1026688;422;190251
Passeio nacional;SP - Vale do Paraíba e Ribeira;GM CHEVROLET ONIX;Todos;Masculino;Maior que 55 anos;42181;3775;1052;22;787537;196;1486645;935;371455
